order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
5408470302,18832,27-06-2024 01:38,27-06-2024 01:34,-4,0.59,On Time,
6346754924,43245,02-01-2025 00:40,02-01-2025 00:37,-3,2.28,On Time,
5731804243,90280,25-10-2023 20:36,25-10-2023 21:04,28,2.48,Significantly Delayed,Traffic
7619720404,93626,19-07-2024 15:21,19-07-2024 15:24,3,4.09,On Time,Traffic
1308703406,84000,31-03-2025 04:51,31-03-2025 04:55,4,3.84,On Time,Traffic
864738378,99140,10-01-2024 07:32,10-01-2024 07:31,-1,2.08,On Time,
9783493265,16060,29-09-2025 20:48,29-09-2025 20:46,-2,4.07,On Time,
2802500783,17057,09-06-2024 02:19,09-06-2024 02:14,-5,4.66,On Time,
8625144136,37791,20-12-2025 04:30,20-12-2025 04:52,22,1.37,Significantly Delayed,Traffic
1152931405,34746,13-12-2025 14:19,13-12-2025 14:19,0,3.15,On Time,
7480454899,54487,30-09-2024 11:58,30-09-2024 12:08,10,3.85,Slightly Delayed,Traffic
4395520324,3993,10-03-2023 12:30,10-03-2023 12:25,-5,1.62,On Time,
2754558974,97040,22-09-2024 00:17,22-09-2024 00:14,-3,1.63,On Time,
4650318593,18477,15-12-2023 11:53,15-12-2023 11:52,-1,4.8,On Time,
5572716475,74996,30-01-2024 09:26,30-01-2024 09:55,29,1.43,Significantly Delayed,Traffic
2734329324,41583,25-05-2023 20:18,25-05-2023 20:14,-4,2.51,On Time,
442836181,5354,31-07-2025 22:57,31-07-2025 23:01,4,4.14,On Time,Traffic
7312766372,59770,20-01-2023 10:02,20-01-2023 10:04,2,1.84,On Time,Traffic
7778959162,92223,11-11-2024 10:41,11-11-2024 10:56,15,2.47,Slightly Delayed,Traffic
4251165351,74687,24-10-2023 07:29,24-10-2023 07:31,2,2.25,On Time,Traffic
5848721367,34591,03-12-2023 06:04,03-12-2023 06:06,2,2.09,On Time,Traffic
6445426132,29449,05-07-2025 22:45,05-07-2025 22:49,4,1.31,On Time,Traffic
5530861970,35750,19-07-2025 15:30,19-07-2025 15:35,5,0.61,On Time,Traffic
5642505097,22019,14-12-2024 23:59,15-12-2024 00:11,12,2.72,Slightly Delayed,Traffic
7617232490,20396,18-10-2025 05:02,18-10-2025 05:00,-2,4,On Time,
1276965544,98670,17-12-2024 03:22,17-12-2024 03:34,12,4.62,Slightly Delayed,Traffic
4516640761,38390,19-10-2025 02:01,19-10-2025 02:04,3,0.61,On Time,Traffic
6511387030,70828,19-12-2023 04:06,19-12-2023 04:35,29,3.73,Significantly Delayed,Traffic
2181170344,98339,30-03-2023 02:52,30-03-2023 02:51,-1,3.37,On Time,
4053593539,92969,10-07-2025 12:33,10-07-2025 12:46,13,3.05,Slightly Delayed,Traffic
5550783056,75271,23-07-2024 03:03,23-07-2024 03:05,2,4.42,On Time,Traffic
8253247187,78257,02-05-2024 06:19,02-05-2024 06:15,-4,1.54,On Time,
9471369897,348,03-06-2023 07:18,03-06-2023 07:21,3,1.13,On Time,Traffic
1805960522,27598,07-08-2023 06:36,07-08-2023 06:32,-4,1.79,On Time,
9784099099,5725,06-07-2025 14:24,06-07-2025 14:37,13,4.1,Slightly Delayed,Traffic
2462223713,92828,23-07-2024 20:02,23-07-2024 20:11,9,3.13,Slightly Delayed,Traffic
9552378210,58803,03-05-2025 00:43,03-05-2025 00:48,5,4.4,On Time,Traffic
4235469622,35766,16-03-2024 05:31,16-03-2024 05:31,0,3.02,On Time,
4047652846,94551,12-01-2024 20:28,12-01-2024 20:32,4,2.39,On Time,Traffic
7072837767,29698,12-08-2024 07:24,12-08-2024 07:21,-3,2.24,On Time,
7723842506,34555,03-06-2025 16:48,03-06-2025 16:45,-3,0.57,On Time,
9407510150,36268,03-12-2025 15:43,03-12-2025 15:52,9,3.85,Slightly Delayed,Traffic
9691358310,88399,31-01-2024 19:51,31-01-2024 20:04,13,3.38,Slightly Delayed,Traffic
5632463145,24327,13-12-2024 15:27,13-12-2024 15:28,1,0.97,On Time,Traffic
5609812355,89634,13-12-2023 11:06,13-12-2023 11:17,11,2.66,Slightly Delayed,Traffic
5512617090,47322,15-08-2025 21:56,15-08-2025 21:55,-1,0.65,On Time,
1135946844,66236,16-01-2023 10:05,16-01-2023 10:01,-4,0.72,On Time,
3490318709,47536,27-10-2025 13:17,27-10-2025 13:25,8,2.27,Slightly Delayed,Traffic
4240075397,85605,11-09-2024 14:29,11-09-2024 14:44,15,2.79,Slightly Delayed,Traffic
1165968701,3332,02-05-2024 20:50,02-05-2024 20:47,-3,1.29,On Time,
7371412416,73740,11-11-2023 02:19,11-11-2023 02:29,10,4.72,Slightly Delayed,Traffic
9123807667,22358,25-08-2025 07:20,25-08-2025 07:25,5,2.34,On Time,Traffic
1896814539,53484,07-12-2024 02:35,07-12-2024 02:31,-4,3.2,On Time,
5944542618,2217,29-02-2024 22:29,29-02-2024 22:38,9,0.56,Slightly Delayed,Traffic
7850220688,21263,10-12-2024 19:19,10-12-2024 19:17,-2,0.69,On Time,
2082445000,60147,22-12-2024 01:47,22-12-2024 01:52,5,1.74,On Time,Traffic
9872882754,14365,24-10-2023 16:36,24-10-2023 16:34,-2,2.7,On Time,
745905638,29973,18-01-2023 20:25,18-01-2023 20:33,8,2.95,Slightly Delayed,Traffic
6961931889,13890,11-08-2023 06:48,11-08-2023 06:50,2,1.4,On Time,Traffic
9327078167,97288,02-05-2024 18:15,02-05-2024 18:37,22,2.36,Significantly Delayed,Traffic
1523418247,74820,16-02-2024 14:08,16-02-2024 14:04,-4,1.54,On Time,
9738626576,64217,07-12-2025 11:41,07-12-2025 11:59,18,4.5,Significantly Delayed,Traffic
5398212395,46730,18-12-2023 16:31,18-12-2023 16:33,2,1.31,On Time,Traffic
7615247922,96161,07-11-2023 04:04,07-11-2023 04:06,2,3.77,On Time,Traffic
2713503655,81874,13-08-2025 12:11,13-08-2025 12:11,0,3.88,On Time,
1097883787,26057,16-03-2025 19:55,16-03-2025 19:57,2,3.26,On Time,Traffic
4112138992,3584,24-03-2023 09:36,24-03-2023 09:35,-1,3.29,On Time,
447958473,27165,30-01-2023 23:28,30-01-2023 23:27,-1,1.68,On Time,
4175462915,86085,23-03-2024 20:05,23-03-2024 20:15,10,3.25,Slightly Delayed,Traffic
570864840,43708,24-01-2023 00:36,24-01-2023 00:39,3,3.74,On Time,Traffic
3417233457,13427,30-04-2023 01:18,30-04-2023 01:21,3,1.84,On Time,Traffic
7606407623,37556,23-12-2024 14:49,23-12-2024 14:44,-5,3.19,On Time,
1820626922,2000,06-11-2023 04:39,06-11-2023 04:59,20,3.31,Significantly Delayed,Traffic
2207921264,97329,24-02-2025 08:56,24-02-2025 09:01,5,4.97,On Time,Traffic
3592351289,62587,15-07-2024 17:31,15-07-2024 17:26,-5,3.94,On Time,
641900260,59781,10-09-2023 13:34,10-09-2023 13:39,5,3.89,On Time,Traffic
5419088751,35144,11-02-2023 21:55,11-02-2023 22:00,5,4.08,On Time,Traffic
1518594702,99292,02-10-2024 11:05,02-10-2024 11:05,0,1.53,On Time,
2783792053,88354,12-02-2025 04:29,12-02-2025 04:24,-5,1.94,On Time,
4925575033,2652,27-09-2024 09:46,27-09-2024 09:58,12,1.92,Slightly Delayed,Traffic
6575138807,96829,13-02-2025 02:43,13-02-2025 02:45,2,4.29,On Time,Traffic
4952229084,35214,06-11-2024 09:09,06-11-2024 09:15,6,1.02,Slightly Delayed,Traffic
437600598,98068,01-09-2024 02:53,01-09-2024 03:12,19,0.67,Significantly Delayed,Traffic
4707698745,57135,23-07-2024 20:26,23-07-2024 20:53,27,1.7,Significantly Delayed,Traffic
1301505930,62541,04-06-2025 11:09,04-06-2025 11:04,-5,3.49,On Time,
5104032854,66152,08-02-2023 07:26,08-02-2023 07:35,9,4.99,Slightly Delayed,Traffic
1553903197,10100,15-07-2025 03:29,15-07-2025 03:28,-1,2.1,On Time,
6067180060,64703,02-08-2023 03:57,02-08-2023 03:52,-5,3.11,On Time,
6726948264,66801,30-03-2025 22:00,30-03-2025 21:56,-4,3.47,On Time,
6368796957,54955,18-04-2024 07:24,18-04-2024 07:22,-2,3.65,On Time,
3267646051,76529,03-06-2024 21:31,03-06-2024 21:34,3,1.82,On Time,Traffic
71353233,43624,06-07-2024 03:18,06-07-2024 03:27,9,1.2,Slightly Delayed,Traffic
1026950968,50964,25-03-2023 16:46,25-03-2023 17:08,22,2.68,Significantly Delayed,Traffic
4001539738,39469,21-07-2023 21:40,21-07-2023 21:36,-4,0.6,On Time,
1219123415,39076,21-08-2023 18:43,21-08-2023 18:46,3,0.86,On Time,Traffic
845198818,61686,10-06-2023 15:39,10-06-2023 15:38,-1,1.14,On Time,
5663322312,95700,02-03-2024 19:44,02-03-2024 19:47,3,1.61,On Time,Traffic
5157790449,67860,20-09-2025 16:04,20-09-2025 16:02,-2,2.75,On Time,
1153387229,87534,07-01-2025 06:46,07-01-2025 06:42,-4,3.62,On Time,
435387759,92647,04-09-2024 05:01,04-09-2024 05:05,4,3.61,On Time,Traffic
6140700888,85723,02-06-2023 10:05,02-06-2023 10:14,9,4.5,Slightly Delayed,Traffic
7219459629,253,06-01-2025 21:01,06-01-2025 21:11,10,1.63,Slightly Delayed,Traffic
5365909345,44599,23-07-2024 20:11,23-07-2024 20:12,1,1.01,On Time,Traffic
2035482537,31787,12-10-2024 05:26,12-10-2024 05:31,5,3.59,On Time,Traffic
5501115321,52271,29-11-2023 13:19,29-11-2023 13:27,8,3.69,Slightly Delayed,Traffic
8584031989,67636,30-03-2023 22:50,30-03-2023 23:07,17,2.09,Significantly Delayed,Traffic
6942195530,3585,30-05-2025 03:58,30-05-2025 03:59,1,2.83,On Time,Traffic
1229717658,41017,13-03-2023 17:15,13-03-2023 17:18,3,2.59,On Time,Traffic
2454526825,9796,21-07-2023 19:14,21-07-2023 19:15,1,0.84,On Time,Traffic
1038289745,9978,31-07-2024 05:47,31-07-2024 05:53,6,4.03,Slightly Delayed,Traffic
9894509061,86863,17-02-2024 09:26,17-02-2024 09:21,-5,2.19,On Time,
7862264964,12271,03-06-2024 13:22,03-06-2024 13:19,-3,3.01,On Time,
5208676589,96420,19-06-2025 12:03,19-06-2025 12:18,15,3.46,Slightly Delayed,Traffic
2372792805,93459,30-07-2024 16:16,30-07-2024 16:17,1,1.48,On Time,Traffic
8044547460,28020,08-07-2024 22:21,08-07-2024 22:46,25,2.72,Significantly Delayed,Traffic
127953348,45024,14-03-2023 10:46,14-03-2023 10:50,4,3.42,On Time,Traffic
5411595707,29804,12-06-2025 16:26,12-06-2025 16:44,18,4.99,Significantly Delayed,Traffic
8195236385,55495,05-06-2024 06:13,05-06-2024 06:37,24,2.84,Significantly Delayed,Traffic
51767168,44161,26-02-2025 13:23,26-02-2025 13:24,1,3.2,On Time,Traffic
3356039880,55584,23-06-2025 00:04,22-06-2025 23:59,-5,4.06,On Time,
820517276,4591,27-07-2023 05:39,27-07-2023 05:35,-4,2.63,On Time,
3354870757,50808,16-05-2024 13:50,16-05-2024 13:48,-2,2.11,On Time,
7879608372,93086,02-07-2025 03:36,02-07-2025 03:39,3,4.69,On Time,Traffic
7457856964,12482,12-11-2024 17:43,12-11-2024 17:46,3,4.46,On Time,Traffic
4574110283,33892,23-09-2023 06:49,23-09-2023 06:48,-1,2.65,On Time,
9708127307,47345,07-10-2024 09:48,07-10-2024 09:59,11,0.9,Slightly Delayed,Traffic
20275600,63215,13-02-2025 11:52,13-02-2025 11:48,-4,2.43,On Time,
4861187240,5668,19-11-2023 02:01,19-11-2023 02:14,13,1.2,Slightly Delayed,Traffic
8222216295,61286,06-05-2025 01:31,06-05-2025 01:46,15,2.76,Slightly Delayed,Traffic
4943487215,26536,18-01-2025 07:39,18-01-2025 07:42,3,3.86,On Time,Traffic
5526400598,77104,16-05-2023 14:35,16-05-2023 14:37,2,3.82,On Time,Traffic
3075742139,90287,09-08-2023 02:33,09-08-2023 02:29,-4,1.4,On Time,
8617047967,99968,13-12-2025 22:05,13-12-2025 22:04,-1,1.39,On Time,
1402451692,30214,22-06-2025 08:43,22-06-2025 08:43,0,3.37,On Time,
9008182969,51996,08-07-2023 08:29,08-07-2023 08:32,3,4.47,On Time,Traffic
6772606524,38,12-10-2024 16:00,12-10-2024 16:20,20,2.5,Significantly Delayed,Traffic
9434853266,32827,21-12-2025 23:37,21-12-2025 23:36,-1,0.6,On Time,
9610474714,98860,03-08-2024 07:35,03-08-2024 07:40,5,1.59,On Time,Traffic
361071213,92811,14-03-2023 18:43,14-03-2023 19:05,22,2.4,Significantly Delayed,Traffic
3388858388,86031,16-02-2024 12:20,16-02-2024 12:20,0,0.7,On Time,
5776883920,66242,26-01-2024 22:26,26-01-2024 22:25,-1,1.72,On Time,
5053179468,9844,22-02-2023 12:20,22-02-2023 12:29,9,2.86,Slightly Delayed,Traffic
5014622006,79951,20-01-2025 23:07,20-01-2025 23:32,25,1.92,Significantly Delayed,Traffic
1600163907,89793,15-07-2023 11:52,15-07-2023 12:04,12,2.72,Slightly Delayed,Traffic
6808881597,38832,23-12-2025 14:37,23-12-2025 14:36,-1,2.77,On Time,
1347066782,53694,23-10-2023 12:14,23-10-2023 12:29,15,1.9,Slightly Delayed,Traffic
94107130,13989,10-04-2024 09:21,10-04-2024 09:22,1,1.32,On Time,Traffic
9828431505,5266,06-07-2024 04:29,06-07-2024 04:31,2,4.69,On Time,Traffic
6250330118,50500,12-06-2025 14:33,12-06-2025 14:39,6,0.82,Slightly Delayed,Traffic
1993338119,36970,24-07-2023 08:49,24-07-2023 08:46,-3,1.86,On Time,
2297985504,78415,02-04-2024 04:03,02-04-2024 04:05,2,1.56,On Time,Traffic
4596613736,95642,29-10-2023 06:55,29-10-2023 06:50,-5,2.22,On Time,
5261916435,22051,21-08-2025 03:52,21-08-2025 03:53,1,3.85,On Time,Traffic
4682676731,18898,19-10-2024 04:05,19-10-2024 04:00,-5,4.31,On Time,
5233610328,69656,08-09-2025 18:47,08-09-2025 18:55,8,0.61,Slightly Delayed,Traffic
9122561763,77046,05-01-2024 07:23,05-01-2024 07:51,28,2.71,Significantly Delayed,Traffic
5623611338,33905,31-08-2024 01:44,31-08-2024 01:47,3,2.43,On Time,Traffic
1731531302,40285,25-04-2025 07:49,25-04-2025 08:08,19,3.78,Significantly Delayed,Traffic
225885841,12916,22-08-2023 09:21,22-08-2023 09:28,7,4.83,Slightly Delayed,Traffic
7288876192,62463,25-06-2025 18:31,25-06-2025 18:39,8,2.9,Slightly Delayed,Traffic
9787779505,30563,08-06-2023 03:39,08-06-2023 03:37,-2,4.22,On Time,
8722555093,23262,18-08-2023 23:10,18-08-2023 23:11,1,2.65,On Time,Traffic
4569571290,27612,22-12-2025 16:30,22-12-2025 16:34,4,3.55,On Time,Traffic
7937876732,43755,15-02-2023 13:17,15-02-2023 13:23,6,0.68,Slightly Delayed,Traffic
8116628925,87580,08-02-2025 03:47,08-02-2025 03:46,-1,3.45,On Time,
1735206329,24213,05-08-2025 10:18,05-08-2025 10:16,-2,4.73,On Time,
2867170490,7959,07-01-2024 07:45,07-01-2024 07:49,4,3.77,On Time,Traffic
6462127297,19559,02-08-2023 21:52,02-08-2023 22:00,8,2.17,Slightly Delayed,Traffic
7055825450,72293,16-01-2023 19:45,16-01-2023 19:48,3,3.93,On Time,Traffic
8097332712,26223,25-04-2024 18:42,25-04-2024 18:47,5,1.42,On Time,Traffic
3508625020,62144,12-11-2023 08:08,12-11-2023 08:12,4,2.74,On Time,Traffic
7597733013,49431,31-03-2025 22:19,31-03-2025 22:15,-4,4.86,On Time,
9171917490,99868,22-02-2025 10:42,22-02-2025 10:39,-3,3.08,On Time,
7655933653,19398,11-03-2024 22:54,11-03-2024 23:01,7,3.95,Slightly Delayed,Traffic
9550814599,65851,29-06-2025 01:16,29-06-2025 01:37,21,4.3,Significantly Delayed,Traffic
9617733776,6155,10-08-2025 14:17,10-08-2025 14:17,0,1.36,On Time,
13645072,7904,24-02-2023 19:40,24-02-2023 19:40,0,3.31,On Time,
319292208,68109,08-09-2025 10:45,08-09-2025 10:40,-5,3.33,On Time,
2426259285,39152,14-07-2023 00:09,14-07-2023 00:27,18,2.96,Significantly Delayed,Traffic
961117297,76449,16-06-2023 16:35,16-06-2023 16:36,1,1.32,On Time,Traffic
7053795858,5529,05-10-2024 06:12,05-10-2024 06:08,-4,4.81,On Time,
8231639935,94838,19-09-2024 15:18,19-09-2024 15:28,10,1.46,Slightly Delayed,Traffic
8908183797,4372,11-01-2024 23:00,11-01-2024 23:08,8,0.72,Slightly Delayed,Traffic
2690310013,57554,20-06-2024 16:27,20-06-2024 16:30,3,2.05,On Time,Traffic
3986622687,47856,22-02-2025 18:30,22-02-2025 18:33,3,3.98,On Time,Traffic
5851120650,16392,30-01-2024 04:29,30-01-2024 04:45,16,2.69,Significantly Delayed,Traffic
1764878772,6712,11-03-2025 20:22,11-03-2025 20:26,4,3.55,On Time,Traffic
86740394,78837,11-12-2025 21:07,11-12-2025 21:09,2,4.85,On Time,Traffic
8321866666,61982,07-11-2025 19:09,07-11-2025 19:25,16,1.33,Significantly Delayed,Traffic
3633729333,81803,19-11-2023 08:11,19-11-2023 08:11,0,0.65,On Time,
5970285552,44749,09-02-2023 07:23,09-02-2023 07:26,3,4,On Time,Traffic
8142982090,10264,07-05-2023 06:28,07-05-2023 06:32,4,4.41,On Time,Traffic
3352821012,83446,16-12-2025 04:55,16-12-2025 04:57,2,0.78,On Time,Traffic
8802901813,75625,15-01-2024 16:50,15-01-2024 17:10,20,1.75,Significantly Delayed,Traffic
2188459089,56710,24-07-2023 12:29,24-07-2023 12:33,4,1.48,On Time,Traffic
8541622141,76129,01-11-2024 15:28,01-11-2024 15:57,29,4.37,Significantly Delayed,Traffic
2014875376,23540,25-06-2024 15:34,25-06-2024 15:32,-2,0.65,On Time,
530926346,95661,09-04-2024 01:46,09-04-2024 02:04,18,2.83,Significantly Delayed,Traffic
5943639702,69503,08-03-2023 04:05,08-03-2023 04:13,8,0.62,Slightly Delayed,Traffic
1922956500,34791,13-03-2025 19:31,13-03-2025 19:28,-3,2.64,On Time,
7311104472,67243,11-06-2024 19:53,11-06-2024 20:19,26,1.92,Significantly Delayed,Traffic
3693734554,59097,01-07-2024 00:47,01-07-2024 01:15,28,0.62,Significantly Delayed,Traffic
9296979252,56136,14-07-2023 21:43,14-07-2023 21:47,4,2.38,On Time,Traffic
3548526597,22173,23-08-2023 10:25,23-08-2023 10:24,-1,4.71,On Time,
4400544449,50089,09-07-2025 10:00,09-07-2025 10:08,8,4.17,Slightly Delayed,Traffic
3654534982,27762,26-07-2023 06:52,26-07-2023 07:14,22,4.42,Significantly Delayed,Traffic
7302242689,73851,09-12-2024 04:09,09-12-2024 04:26,17,1.85,Significantly Delayed,Traffic
8045972844,67490,16-10-2024 05:02,16-10-2024 05:20,18,3.25,Significantly Delayed,Traffic
8056717611,56451,24-12-2024 11:39,24-12-2024 11:36,-3,1.66,On Time,
3510329057,32863,03-01-2023 22:42,03-01-2023 22:48,6,4.7,Slightly Delayed,Traffic
6678956399,65624,26-11-2024 07:04,26-11-2024 07:09,5,2.39,On Time,Traffic
8318317710,30930,20-12-2023 03:31,20-12-2023 03:27,-4,1.54,On Time,
5698208569,14854,16-12-2023 13:15,16-12-2023 13:32,17,2.26,Significantly Delayed,Traffic
7726090540,7041,16-07-2025 20:09,16-07-2025 20:08,-1,2.09,On Time,
221419292,77371,28-03-2025 20:09,28-03-2025 20:13,4,1.47,On Time,Traffic
8225674203,36935,15-07-2025 11:34,15-07-2025 11:52,18,1.57,Significantly Delayed,Traffic
3647758633,71482,10-10-2024 15:11,10-10-2024 15:08,-3,2.83,On Time,
8536217803,11289,19-02-2023 14:56,19-02-2023 14:59,3,3.26,On Time,Traffic
5125498148,74402,08-12-2024 02:15,08-12-2024 02:21,6,3.21,Slightly Delayed,Traffic
5472800956,49438,25-03-2025 07:44,25-03-2025 07:43,-1,3.42,On Time,
7134213630,97765,02-05-2025 09:18,02-05-2025 09:14,-4,2.43,On Time,
1520142700,88434,27-02-2025 23:40,27-02-2025 23:38,-2,3.55,On Time,
8265503413,90845,28-05-2024 13:46,28-05-2024 14:00,14,4.84,Slightly Delayed,Traffic
4252989153,277,04-10-2024 17:31,04-10-2024 17:32,1,4.2,On Time,Traffic
2490783915,39728,09-04-2024 02:46,09-04-2024 02:45,-1,0.61,On Time,
6323669935,88293,23-03-2025 20:50,23-03-2025 20:46,-4,2.17,On Time,
6944993359,23167,31-10-2024 23:59,31-10-2024 23:55,-4,0.51,On Time,
8187763852,29408,22-06-2024 09:31,22-06-2024 09:33,2,4.95,On Time,Traffic
6328921823,93980,18-09-2024 20:22,18-09-2024 20:33,11,4.86,Slightly Delayed,Traffic
9051489316,22288,06-02-2023 15:26,06-02-2023 15:53,27,4.54,Significantly Delayed,Traffic
231072491,75397,03-01-2024 02:36,03-01-2024 02:36,0,1.7,On Time,
8593088960,36194,14-10-2024 07:04,14-10-2024 07:02,-2,2.23,On Time,
2961630058,37456,27-07-2025 04:34,27-07-2025 04:46,12,1.6,Slightly Delayed,Traffic
7390096898,50857,29-12-2025 07:57,29-12-2025 08:01,4,4.53,On Time,Traffic
3825407862,33363,31-01-2025 00:29,31-01-2025 00:31,2,1.28,On Time,Traffic
478519822,34871,06-12-2023 19:33,06-12-2023 19:28,-5,2,On Time,
8528610793,60878,26-05-2025 14:44,26-05-2025 14:49,5,2.52,On Time,Traffic
1609344095,99197,11-08-2023 06:12,11-08-2023 06:20,8,3.93,Slightly Delayed,Traffic
3954116140,90267,03-01-2025 15:38,03-01-2025 15:39,1,2.49,On Time,Traffic
1764800857,93641,07-04-2025 18:08,07-04-2025 18:11,3,0.77,On Time,Traffic
362320627,47814,04-01-2024 01:13,04-01-2024 01:09,-4,3.64,On Time,
2113084052,18203,12-01-2023 04:27,12-01-2023 04:56,29,3.06,Significantly Delayed,Traffic
5899504687,49583,09-06-2024 02:53,09-06-2024 02:53,0,0.74,On Time,
6395146895,46250,17-04-2024 01:50,17-04-2024 01:53,3,1.01,On Time,Traffic
4888944788,43153,07-08-2025 10:10,07-08-2025 10:08,-2,2.44,On Time,
784950636,95331,28-07-2023 07:22,28-07-2023 07:19,-3,3.66,On Time,
6574322672,3916,18-09-2023 11:00,18-09-2023 11:13,13,0.88,Slightly Delayed,Traffic
5246423137,40484,09-11-2023 00:21,09-11-2023 00:16,-5,1.18,On Time,
9313853656,60227,08-08-2025 11:33,08-08-2025 11:44,11,3.88,Slightly Delayed,Traffic
7532476659,19266,31-03-2024 23:41,31-03-2024 23:46,5,1.18,On Time,Traffic
6011442582,1298,13-02-2024 08:43,13-02-2024 09:10,27,1.95,Significantly Delayed,Traffic
1280960656,5198,14-11-2023 02:32,14-11-2023 03:00,28,2.67,Significantly Delayed,Traffic
5936975324,73025,08-10-2025 23:41,08-10-2025 23:46,5,2.56,On Time,Traffic
4705517094,92389,02-12-2024 02:36,02-12-2024 02:31,-5,1.77,On Time,
3339587805,35274,02-11-2024 16:30,02-11-2024 16:32,2,1.76,On Time,Traffic
4102656999,8742,12-08-2023 17:05,12-08-2023 17:02,-3,1.71,On Time,
2327991575,16926,13-12-2025 23:46,13-12-2025 23:45,-1,4.08,On Time,
4913170993,66847,22-07-2025 08:04,22-07-2025 08:09,5,3.03,On Time,Traffic
9725806102,16423,07-06-2024 21:58,07-06-2024 22:02,4,2.93,On Time,Traffic
2197712579,69388,08-08-2024 20:29,08-08-2024 20:31,2,2.46,On Time,Traffic
9003567431,51287,23-01-2024 09:34,23-01-2024 09:35,1,3.31,On Time,Traffic
8021207473,67714,25-02-2025 17:15,25-02-2025 17:11,-4,0.81,On Time,
4109283911,58109,03-04-2025 23:57,03-04-2025 23:52,-5,3.75,On Time,
5831919906,27798,24-11-2025 23:21,24-11-2025 23:19,-2,1.51,On Time,
9674511571,25646,19-02-2024 21:01,19-02-2024 21:02,1,4.71,On Time,Traffic
8293529536,41669,14-04-2024 11:25,14-04-2024 11:40,15,1.04,Slightly Delayed,Traffic
2499735146,54280,18-05-2023 19:16,18-05-2023 19:12,-4,4.15,On Time,
4064368286,97160,05-03-2025 12:48,05-03-2025 12:43,-5,4.34,On Time,
8949583535,65346,07-10-2024 18:13,07-10-2024 18:10,-3,3.71,On Time,
